更新时间: 2025-11-01 11:31:03（北京时间）

更新时间,#genre#
2025-11-01 11:31:03,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV5,http://1.58.246.172:4001/rtp/229.58.190.60:5000$黑龙江联通11
CCTV5,http://121.29.141.15:4022/rtp/239.253.92.181:6046$河北联通11
CCTV5,http://36.46.98.129:8025/rtp/239.112.205.222:5140$陕西电信11
CCTV5,http://202.107.163.105:5555/udp/238.125.5.22:5140$新疆电信11
CCTV5,http://27.184.65.71:58888/rtp/239.254.201.153:7206$河北电信11
CCTV5,http://171.113.210.116:4022/rtp/239.69.1.123:10376$湖北电信11
CCTV5,http://116.21.205.101:8188/udp/239.77.0.170:5146$广东电信21
CCTV5,http://223.167.245.20:8001/rtp/239.45.1.69:5140$上海电信21
CCTV5,http://112.66.90.123:8188/rtp/239.253.64.245:5140$海南电信21
CCTV5,http://58.46.29.23:8188/udp/239.76.253.155:9000$湖南电信21
CCTV5,http://61.159.135.223:18000/rtp/238.255.2.134:5999$贵州电信21
CCTV5,http://36.46.98.81:8025/rtp/239.112.205.222:5140$陕西电信21
CCTV5,http://171.213.240.211:8188/udp/239.93.42.37:5140$四川电信21
CCTV5,http://59.173.120.39:4022/rtp/239.69.1.123:10376$湖北电信21
CCTV5,http://183.162.105.167:8888/rtp/238.1.78.171:7240$安徽电信21
CCTV5,http://60.163.19.174:8188/udp/233.50.201.197:5140$浙江电信21
CCTV5,http://144.255.32.94:8288/udp/239.21.2.46:5002$山东电信21
CCTV5,http://222.82.206.180:8188/udp/238.125.5.22:5140$新疆电信21
CCTV5,http://1.58.246.172:4000/rtp/229.58.190.60:5000$黑龙江联通21
CCTV5,http://58.46.29.23:8188/udp/239.76.254.214:9000$湖南电信22
CCTV5,http://58.46.29.23:8188/udp/239.76.246.155:1234$湖南电信23
CCTV5,http://183.236.43.98:4013/udp/239.77.0.170:5146$广东电信31
CCTV5,http://112.66.80.239:8188/rtp/239.253.64.245:5140$海南电信31
CCTV5,http://180.165.18.51:9898/rtp/239.45.1.69:5140$上海电信31
CCTV5,http://1.58.246.183:4000/rtp/229.58.190.60:5000$黑龙江联通31
CCTV5,http://144.255.18.234:6688/udp/239.21.2.46:5002$山东电信31
CCTV5+,http://115.58.216.210:4000/rtp/225.1.4.75:1104$河南联通11
CCTV5+,http://223.198.241.248:4000/rtp/239.253.64.100:5140$海南电信11
CCTV5+,http://171.104.106.97:50112/udp/239.81.0.101:4056$广西电信11
CCTV5+,http://114.100.195.213:4022/rtp/238.1.78.237:7768$安徽电信11
CCTV5+,http://171.213.217.15:8800/udp/239.93.1.36:8004$四川电信11
CCTV5+,http://106.59.2.58:55555/rtp/239.200.200.9:8004$云南电信11
CCTV5+,http://111.113.88.237:2000/rtp/239.121.4.140:8852$宁夏电信11
CCTV5+,http://1.58.246.172:4001/rtp/229.58.190.154:5000$黑龙江联通11
CCTV5+,http://121.29.141.15:4022/rtp/239.253.92.82:8013$河北联通11
CCTV5+,http://36.46.98.129:8025/rtp/239.111.205.13:5140$陕西电信11
CCTV5+,http://202.107.163.105:5555/udp/238.125.5.29:5140$新疆电信11
CCTV5+,http://27.184.65.71:58888/rtp/239.254.200.46:8004$河北电信11
CCTV5+,http://171.113.210.116:4022/rtp/239.254.96.234:9484$湖北电信11
CCTV5+,http://116.21.205.101:8188/udp/239.77.0.87:5146$广东电信21
CCTV5+,http://112.66.90.123:8188/rtp/239.253.64.100:5140$海南电信21
CCTV5+,http://58.46.29.23:8188/udp/239.76.253.168:9000$湖南电信21
CCTV5+,http://61.159.135.223:18000/rtp/238.255.2.185:5999$贵州电信21
CCTV5+,http://36.46.98.81:8025/rtp/239.111.205.13:5140$陕西电信21
CCTV5+,http://171.213.240.211:8188/udp/239.93.1.36:8004$四川电信21
CCTV5+,http://59.173.120.39:4022/rtp/239.254.96.234:9484$湖北电信21
CCTV5+,http://183.162.105.167:8888/rtp/238.1.78.237:7768$安徽电信21
CCTV5+,http://60.163.19.174:8188/udp/233.50.201.220:5140$浙江电信21
CCTV5+,http://144.255.32.94:8288/udp/239.21.1.142:5002$山东电信21
CCTV5+,http://222.82.206.180:8188/udp/238.125.5.29:5140$新疆电信21
CCTV5+,http://1.58.246.172:4000/rtp/229.58.190.154:5000$黑龙江联通21
CCTV5+,http://116.21.205.101:8188/udp/239.77.1.31:5146$广东电信22
