更新时间: 2025-01-05 15:43:52
央视频道,#genre#
解密,http://221.222.162.206:8888/udp/239.3.1.75:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.75:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.235:4120$线路3
军事,http://221.222.162.206:8888/udp/239.3.1.76:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.76:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.236:4120$线路3
地理,http://221.222.162.206:8888/udp/239.3.1.71:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.71:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.231:4120$线路3
武术,http://221.222.162.206:8888/udp/239.3.1.87:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.87:4120$线路1
家庭影院,http://221.222.162.206:8888/udp/239.3.1.93:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.93:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.253:4120$线路3
动作影院,http://221.222.162.206:8888/udp/239.3.1.92:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.92:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.252:4120$线路3
军旅剧场,http://221.222.162.206:8888/udp/239.3.1.68:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.68:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.228:4120$线路3
古装剧场,http://221.222.162.206:8888/udp/239.3.1.69:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.69:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.229:4120$线路3
喜剧影院,http://221.222.162.206:8888/udp/239.3.1.91:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.91:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.251:4120$线路3
城市剧场,http://221.222.162.206:8888/udp/239.3.1.67:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.67:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.227:4120$线路3
武侠剧场,http://221.222.162.206:8888/udp/239.3.1.90:4120$线路2#http://114.240.44.242:8888/udp/239.3.1.90:4120$线路1#http://1.203.111.193:17777/udp/225.1.8.250:4120$线路3
热播剧场,http://221.222.162.206:8888/udp/239.3.1.194:9020$线路2#http://114.240.44.242:8888/udp/239.3.1.194:9020$线路1#http://1.203.111.193:17777/udp/225.1.8.202:9020$线路3
经典电影,http://221.222.162.206:8888/udp/239.3.1.195:9024$线路2#http://114.240.44.242:8888/udp/239.3.1.195:9024$线路1#http://1.203.111.193:17777/udp/225.1.8.203:9024$线路3
